date,value
24-08-2016,31049
25-08-2016,30945
26-08-2016,31023
29-08-2016,31077
30-08-2016,30840
31-08-2016,30746
01-09-2016,30710
02-09-2016,30900
05-09-2016,31025
06-09-2016,31401
07-09-2016,31336
08-09-2016,31239
09-09-2016,31261
12-09-2016,31087
13-09-2016,31141
14-09-2016,31100
15-09-2016,30950
16-09-2016,30851
19-09-2016,30936
20-09-2016,30892
21-09-2016,31207
22-09-2016,31335
23-09-2016,31288
26-09-2016,31351
27-09-2016,31003
28-09-2016,30963
29-09-2016,31224
30-09-2016,30814
03-10-2016,30749
04-10-2016,30068
05-10-2016,30004
06-10-2016,29615
07-10-2016,29591
10-10-2016,29662
11-10-2016,29712
12-10-2016,29662
13-10-2016,29697
14-10-2016,29638
17-10-2016,29675
18-10-2016,29773
19-10-2016,29883
20-10-2016,29891
21-10-2016,29936
24-10-2016,29820
25-10-2016,30034
26-10-2016,29913
27-10-2016,30054
28-10-2016,30131
30-10-2016,30151
31-10-2016,30057
01-11-2016,30329
02-11-2016,30759
03-11-2016,30674
04-11-2016,30689
07-11-2016,30118
08-11-2016,29899
09-11-2016,29961
10-11-2016,29986
11-11-2016,29461
14-11-2016,29676
15-11-2016,29391
16-11-2016,29463
17-11-2016,29185
18-11-2016,29005
21-11-2016,29197
22-11-2016,29182
23-11-2016,28885
24-11-2016,28816
25-11-2016,28671
28-11-2016,28793
29-11-2016,28853
30-11-2016,28428
01-12-2016,28062
02-12-2016,28445
05-12-2016,28236
06-12-2016,27944
07-12-2016,28043
08-12-2016,27896
09-12-2016,27701
12-12-2016,27843
13-12-2016,27710
14-12-2016,27746
15-12-2016,27130
16-12-2016,27308
19-12-2016,27392
20-12-2016,27262
21-12-2016,27103
22-12-2016,27152
23-12-2016,27186
26-12-2016,27241
27-12-2016,27431
28-12-2016,27539
29-12-2016,27810
30-12-2016,27700
02-01-2017,27828
03-01-2017,28102
04-01-2017,28085
05-01-2017,28890
06-01-2017,27960
09-01-2017,28124
10-01-2017,28210
11-01-2017,28353
12-01-2017,28463
13-01-2017,28440
16-01-2017,28601
17-01-2017,28797
18-01-2017,28852
19-01-2017,28588
20-01-2017,28685
23-01-2017,28876
24-01-2017,28815
25-01-2017,28472
27-01-2017,28449
30-01-2017,28642
31-01-2017,29172
01-02-2017,28981
02-02-2017,29064
03-02-2017,29166
06-02-2017,29202
07-02-2017,29348
08-02-2017,29371
09-02-2017,29115
10-02-2017,29195
13-02-2017,29057
14-02-2017,29027
15-02-2017,29138
16-02-2017,29377
17-02-2017,29359
20-02-2017,29324
21-02-2017,29314
22-02-2017,29223
23-02-2017,29440
24-02-2017,29613
27-02-2017,29732
28-02-2017,29592
01-03-2017,29529
02-03-2017,29204
03-03-2017,29442
06-03-2017,28979
07-03-2017,28791
08-03-2017,28660
09-03-2017,28491
10-03-2017,28417
13-03-2017,28291
14-03-2017,28100
15-03-2017,28019
16-03-2017,28436
17-03-2017,28528
20-03-2017,28518
21-03-2017,28853
22-03-2017,28886
23-03-2017,28816
24-03-2017,28809
27-03-2017,28839
28-03-2017,28872
29-03-2017,28762
30-03-2017,28559
31-03-2017,28612
03-04-2017,28720
04-04-2017,28960
05-04-2017,28617
06-04-2017,28697
